folio, Iliad line after paragraphos
12v, 1.33
12v, 1.43
13r, 1.53
13r, 1.59
13r, 1.68
13r, 1.74
13v, 1.76
13v, 1.85
14r, 1.106
14r, 1.121
14v, 1.130
14v, 1.148
15r, 1.172
15v, 1.188
16r, 1.206
16r, 1.215
16r, 1.219
16r, 1.223
16v, 1.246
16v, 1.249
17r, 1.254
17v, 1.286
17v, 1.292
18r, 1.304
18r, 1.318
18r, 1.326
18v, 1.334
18v, 1.346
19r, 1.357
19r, 1.362
19r, 1.364
20r, 1.413
20v, 1.428
20v, 1.442
20v, 1.446
21r, 1.457
21v, 1.484
21v, 1.488
21v, 1.493
22r, 1.503
22r, 1.511
22r, 1.514
22r, 1.517
22v, 1.528
22v, 1.540
22v, 1.544
22v, 1.545
22v, 1.551
23r, 1.560
23r, 1.568
23r, 1.573
23v, 1.584
23v, 1.586
23v, 1.595
24r, 2.8
24v, 2.17
24v, 2.24
24v, 2.36
25r, 2.48
25r, 2.56
25v, 2.84
26r, 2.87
26r, 2.110
27r, 2.142
27r, 2.157
27v, 2.166
27v, 2.173
27v, 2.182
28r, 2.190
28r, 2.200
28r, 2.207
28v, 2.225
29r, 2.243
29v, 2.266
29v, 2.278
29v, 2.284
30r, 2.291
30r, 2.299
30v, 2.319
30v, 2.323
30v, 2.333
30v, 2.337
31v, 2.369
32r, 2.394
32r, 2.412
32v, 2.419
32v, 2.434
33r, 2.441
33r, 2.455
33r, 2.459
33v, 2.469
33v, 2.479
33v, 2.480
33v, 2.484
34r, 2.508
34v, 2.516
34v, 2.536
35r, 2.546
35r, 2.557
35r, 2.559
35v, 2.569
35v, 2.591
36r, 2.615
36v, 2.638
37r, 2.645
37r, 2.653
37v, 2.671
37v, 2.676
37v, 2.677
37v, 2.681
38r, 2.695
38r, 2.711
38r, 2.716
38v, 2.729
39r, 2.748
39r, 2.756
39r, 2.760
39v, 2.780
40r, 2.796
40r, 2.807
40r, 2.811
40v, 2.819
40v, 2.824
40v, 2.828
40v, 2.835
41r, 2.844
41r, 2.846
41r, 2.848
41r, 2.851
41r, 2.856
41r, 2.858
41r, 2.862
41r, 2.864
41v, 2.867
41v, 2.876
42r, 3.10
42r, 3.15
42v, 3.30
42v, 3.33
42v, 3.39
43r, 3.59
43v, 3.82
43v, 3.84
43v, 3.86
43v, 3.95 
43v, 3.97
44r, 3.111
44r, 3.121
44v, 3.130
44v, 3.139
44v, 3.146
44v, 3.156







